place_id,name,rating,reviews,main_category,workday_timing
ChIJyWO4Ydq3sw0RabTa1I4CNBE,O'Clock Coworking Space Agadir - Espace de travail et Salles de formation,4.9,126,Coworking space,Open 24 hours
ChIJsZNCAPq3sw0RZ0luc4iVNYo,Coworking Space Agadir - Work Harmony Space,5.0,51,Coworking space,Open 24 hours
ChIJfwom57fJsw0R06gfpYjQ9E4,Technopark Agadir,4.6,93,Coworking space,9 AM–6 PM
ChIJW0v7EGW3sw0RtqRMDzwAMfw,Social Innovation Space - SIS,4.7,14,Coworking space,9:30 AM–12 AM
ChIJ4am5D_rJsw0R-VugqMYvslI,Y'office,5.0,35,Business center,8:30 AM–9 PM
ChIJN2Rhb9fJsw0RWAne8m-_kQs,Mao coworking space,5.0,48,Coworking space,Open 24 hours
ChIJrQKZGz-3sw0RNWWuQv5ndVc,Keep Coworking,5.0,9,Coworking space,9 AM–6 PM
ChIJOyHxdBm3sw0RKGHRXKpx4xE,Nour Workspace,4.3,20,Office space rental agency,8 AM–7 PM
ChIJq1U1vxS3sw0REb7IRzJ68gA,EXCELLENTIA BUSINESS CENTER I CENTRE DE DOMICILIATION I AGADIR I MARRAKECH I MAROC,5.0,37,Business center,9 AM–6:30 PM
ChIJicVIOgDJsw0RAKDm4LyIx-c,IWGS coworking space,0.0,0,Coworking space,Open 24 hours
ChIJ6R76w0W3sw0RIyQSLF8WyAU,Adaoui Business Centre,4.4,9,Student career counseling office,8 AM–6:30 PM
ChIJrXDuhFzJsw0RE9e5RBuEAQo,GESTANCIA,0.0,0,Coworking space,8:30 AM–7 PM
ChIJU3yncNjJsw0RgUp5orIM8WE,Espace coworking,5.0,2,Internet cafe,
ChIJpRgzvUVNsg0RzcLKfKO2lvg,SunDesk Coworking,4.9,146,Coworking space,
ChIJe8zmu7fJsw0RjM2Epb0xmvk,CAFÉ LIBRAIRIE TADLSA BY CULTURA FOUNTY,4.6,129,Book store,7 AM–10 PM
ChIJ9ceFDeuzsw0RSiQcxooSlUQ,@SILYANETWORKING & SILIA PLAY,0.0,0,Coworking space,9 AM–11:30 PM
ChIJmb_zI9u3sw0RihH6vTinFGw,LogiFineX,0.0,0,Coworking space,
ChIJhWXa24-DQ2AR3L2_suBeUkM,Next Meeting,0.0,0,Coworking space,Open 24 hours
ChIJRcew9wV9eA0R7Ouih9qonaE,MySpace CoWorking,5.0,46,Coworking space,9 AM–7 PM
ChIJs1fbRCuHow0RwKA3rydojA0,Cooworkin' - Coworking & Entrepreneuriat Space,4.9,15,Coworking space,
ChIJbVZmHwCndw0REB1BamWDM4Y,Coworking Space Nador,5.0,7,Coworking space,10 AM–8 PM
ChIJh4bNSv4InAwR5XCYQDXGp_U,SpaceIT Coworking Nador,5.0,1,Coworking space,10 AM–8 PM
ChIJq-U1V4i5dw0RfzJIB3i0mAQ,Coworking Nador Global,0.0,0,Coworking space,Open 24 hours
ChIJZyRvIdWndw0RVx11SYBi2yM,Pratique Des Chariots Élévateurs,0.0,0,Coworking space,
ChIJ-4F164andw0R57PZx2kR9Xw,الناظور,0.0,0,Coworking space,
ChIJ6WjEt-aHow0Rzw9ZltU44BQ,Get inspired Coworking,4.6,13,Coworking space,9:30 AM–8:30 PM
ChIJOVE7k-iFow0R4Uzj7lkcTUE,Espace Focus Co-working & entrepreneuriat,0.0,0,Coworking space,9 AM–6 PM
ChIJQXtKeKRrpA0RYVwbOqGAuhc,ANAPEC : Agence Nationale de Promotion de l'Emploi et des Compétences_Fkih Ben Salah,4.8,4,Employment agency,Open 24 hours
ChIJR54KWmXWy0oRVGrDa9xDbqY,Moroccan cise Bénimellal,0.0,0,Coworking space,9 AM–6 PM
ChIJ4XWA_YUxdA0RxDnS8XkRV50,Espace Eucalyptus,4.8,47,Cafe,6:30 AM–11:30 PM
ChIJGWQ0EoYxdA0R0kBIjp7EPas,"Chambre de Commerce, d'Industrie et de Services_Al Hoceima",4.8,6,Chamber of Commerce,
ChIJ0fL0oosxdA0RyMBXbER3Cp4,Agence Urbaine d'Al Hoceima-الوكالة الحضرية للحسيمة,4.7,3,Government office,8:30 AM–4:30 PM
ChIJma1ahVBBpw0RMHLFjPNsuac,WORKEO,4.9,46,Coworking space,9 AM–9 PM
ChIJq-cS_kUxdA0R4GHR6SUjEbU,Tafouqt Media Works,0.0,0,Internet marketing service,Open 24 hours
ChIJ-6hUCHCLnw0RRfMoUAIC6_Q,OURSPACE,4.6,121,Coworking space,9 AM–11 PM
ChIJ6d5PSziLnw0RgiWKqEtWRdo,"BRIDGES TO THE FUTURE: Coworking, Incubation",4.9,48,Coworking space,Open 24 hours
ChIJ0aY8dhbvrw0RwiLirDttGrs,Goworking Marrakech,4.9,102,Coworking space,Open 24 hours
ChIJJXqET0Bjlw0ReBugKAfPX3Q,Kasbah Hôtel Xaluca Arfoud,4.6,1846,Hotel,
ChIJRQM_GWm3pw0RAo-snWmBkMY,Coworking Space Co Dux,5.0,53,Coworking space,8 AM–9 PM
ChIJZQpexMFFCw0RFs7X1djZ9ZM,Co-working Space The Hive Hub,4.8,12,Coworking space,Open 24 hours
ChIJp1vVWzvtrw0RxD1F28JK1i0,CoArcad,4.8,48,Learning center,9:30 AM–6 PM
ChIJC-AIQRvTpw0Rfm1D89-7w24,Hello Desk,4.9,118,Coworking space,Open 24 hours
ChIJzY7hhr3vrw0RU93cEf3CeF8,Targa Cowork Club - Coworking Space,5.0,495,Coworking space,7 AM–9 PM
ChIJn3q9JHvvrw0R-aOnNEVjvJQ,Cowork in Marrakech,4.8,66,Coworking space,9 AM–6:45 PM
ChIJZY3g-RshrA0RE6Hc1IfQUnQ,DarevoX,5.0,48,Coworking space,9 AM–10 PM
ChIJIWj-P7nvrw0RwFyAdoDr4bs,CWC Hub Coworking & Consulting,5.0,68,Coworking space,9 AM–7 PM
ChIJYbB15NYXng0RbTQb83MCGr0,leader space,4.9,19,Coworking space,9 AM–11 PM
ChIJkdAXsgnvrw0Rw2iwIk0TOHM,Codesk Coworking Space Marrakech,4.8,4,Coworking space,9 AM–6:30 PM
ChIJdwXZLAF6tA0RO-EiQ81iMQI,L’Blend,4.9,45,Coworking space,11 AM–9 PM
ChIJ19xVL8Vtpw0RWAOdeTaiNA0,Commons Agdal,4.8,53,Coworking space,Open 24 hours
ChIJYZ0dexVtpw0RmtfRk1lJiCQ,La Station coworking - coworking space Rabat- Location de bureaux,4.9,90,Coworking space,8:30 AM–6 PM
ChIJNZsojcVtpw0R3iz9h3Eb7sw,Syllabus Coworking Rabat,4.6,71,Coworking space,Open 24 hours
ChIJgy4iBxHTpw0Rdn_Kav8GyDE,BRAIN OFFICES,4.9,16,Business center,Open 24 hours
ChIJ3Wk-6f3DoA0R3IkSJUNHGUM,COLAB-Coworking-Space,5.0,4,Coworking space,9 AM–10 PM
ChIJ-epDf4zurw0RU-tFbsNYiJg,Fraktal Coworking,5.0,4,Office space rental agency,9 AM–6 PM
